scenario_id,arrival_rate_mean,res_AML_Investigator_amount,res_AML_Investigator_cost,res_Applicant_amount,res_Applicant_cost,res_Appraiser_amount,res_Appraiser_cost,res_Clerk_amount,res_Clerk_cost,res_Loan_Officer_amount,res_Loan_Officer_cost,res_Senior_Officer_amount,res_Senior_Officer_cost,el_node_fb6142cf-431e-49a2-8278-0ab153e033d9_duration,el_node_72f9366b-1a12-44b3-9d62-12151a3c986b_duration,el_node_b7b69815-2300-45c0-b795-b10641e4997f_duration,el_node_e96c5ddd-ce95-4d1c-b20e-4236a5ede724_duration,el_node_4aac3e09-f63b-4091-b1dc-382ae5799d24_duration,el_node_ec71f837-04b3-439c-8f5b-6c03f40ba4a9_duration,el_node_3fd5220c-2503-4b5d-a543-78dbeee830c9_duration,el_node_2dee630f-fe8e-4719-8b0b-546b1310b27d_duration,el_node_4eb5f5ad-92ef-41f7-9814-f2df60a90301_duration,el_node_a9e6f8b0-d94c-42cc-ab3f-ed02e0faa62e_duration,el_node_a265a23b-82f9-446b-8167-ad6c1655e313_duration,el_node_74bde187-ed90-4355-a7b0-2229bd9210e2_duration,kpi_total_cost,kpi_cycle_time,kpi_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
11,4988.56,10,33.26,72,9.2,7,46.98,5,10.96,6,47.83,1,34.12,176.23,3263.18,2483.04,1415.47,556.28,282.89,468.85,2087.35,549.89,886.34,1255.2,528.01,150158.4964758111,30403.056050477426,25668.45130833966,7,True,True,True,True
12,6308.9,12,15.95,120,15.53,8,17.68,9,36.16,7,45.64,1,44.04,60.89,1137.01,4591.73,1082.97,248.12,207.93,701.37,978.25,1084.49,501.55,1877.3,1870.68,98318.50299555554,38744.5408386078,34809.50503440116,36,True,True,True,True
13,12939.81,11,42.06,110,18.98,3,47.75,4,33.78,9,46.24,1,49.36,150.18,1043.54,7621.84,1164.54,554.78,105.96,736.91,3560.97,284.91,970.1,789.48,1761.62,66421.8342463856,26952.47412200912,21263.29850704952,9,True,True,True,True
14,12574.62,9,37.52,58,44.12,5,31.03,14,40.02,2,27.62,4,32.04,295.09,3202.12,4454.62,689.29,641.64,157.77,467.38,3296.63,444.63,292.19,2132.0,2253.94,71870.87713353283,30436.184904445097,24597.797689495856,9,True,True,True,True
15,11081.63,9,22.47,106,9.88,6,14.14,13,38.19,6,27.19,2,48.99,306.16,2851.21,1578.54,954.08,400.35,125.94,414.42,3664.91,712.91,367.86,857.1,513.01,48865.005222652166,25017.360036845388,20645.370279262508,5,True,True,True,True
16,9722.7,11,11.95,65,22.62,2,8.91,14,44.73,2,9.86,5,41.7,118.21,1321.14,8687.27,1403.86,323.31,276.79,473.48,1263.75,1239.7,728.8,509.67,1668.31,53523.30677878223,26521.133678470764,22767.515200645143,13,True,True,True,True
17,12726.81,3,31.43,37,23.46,2,24.2,6,25.98,7,38.93,4,8.64,140.02,1048.62,7732.54,1246.41,109.03,85.83,477.21,4262.03,764.11,459.84,1029.45,1459.48,50349.348276179175,32619.986310910463,28073.029178123204,15,True,True,True,True
18,7912.5,4,19.79,96,11.47,12,31.68,20,35.06,8,27.97,3,13.14,158.78,4198.35,8609.31,1526.76,450.49,76.49,615.87,4266.9,731.22,669.26,1103.72,1133.04,102081.73602038072,37649.95513537241,33043.88606712012,8,True,True,True,True
19,8140.09,5,19.5,118,10.52,6,38.16,8,40.8,4,21.09,3,46.49,352.34,2295.11,6834.91,1025.12,461.98,57.58,599.77,3714.54,842.49,468.26,1401.04,691.05,85271.25230311509,28614.37276603757,23840.77591281538,5,True,True,True,True
20,6624.82,4,13.11,68,29.95,4,11.01,10,12.16,7,37.15,5,26.84,261.66,1882.8,1837.55,1650.52,287.49,159.01,467.16,3427.74,849.68,929.12,639.94,867.88,53831.36610115098,33865.62084858657,31984.84557363405,6,True,True,True,True
21,12036.07,6,37.81,84,11.74,5,49.19,14,25.78,10,48.25,1,36.39,122.12,4524.74,7895.18,677.7,632.18,152.6,397.39,1730.27,1229.18,520.06,1861.43,1764.42,90276.73367463812,32758.63381955081,26022.2976153404,15,True,True,True,True
22,7556.55,9,11.72,41,35.43,2,49.48,11,43.77,4,10.16,5,31.32,251.35,2553.75,3076.63,1005.28,309.04,140.09,162.04,3293.81,1341.6,827.77,1491.38,579.35,92630.28491639502,43307.28791689444,41359.05310175717,21,True,True,True,True
23,11094.48,6,13.4,87,12.78,3,43.85,14,16.47,3,38.1,2,27.77,190.79,972.58,3718.99,1201.61,450.25,50.4,461.5,4335.95,1315.79,683.04,1980.43,1592.52,53268.83956206725,29714.1485371828,23959.377041563686,7,True,True,True,True
24,7166.9,10,32.14,62,29.27,6,31.93,13,44.71,5,39.18,1,42.46,284.33,4334.35,7510.23,380.82,314.12,201.19,570.96,939.19,1192.73,549.61,2110.01,960.93,121345.9773107014,33979.89989878664,27932.351779745964,6,True,True,True,True
25,5335.79,11,17.1,20,23.46,3,16.11,3,49.62,6,13.09,4,17.48,301.55,2081.45,2549.2,1294.62,259.09,136.82,545.85,2674.33,1027.69,410.77,723.08,1668.73,101335.57098771418,58859.53854005189,56313.370503499726,22,True,True,True,True
26,8909.27,8,10.84,44,37.94,10,31.03,17,34.64,8,31.28,1,15.38,219.57,4408.78,2969.85,1218.21,291.41,104.04,579.25,4380.79,1152.72,673.93,1243.6,492.79,84728.4355224338,28035.55158509628,22679.128269634537,5,True,True,True,True
27,11135.55,4,13.09,53,21.59,6,41.17,19,8.42,10,20.31,1,47.62,187.08,4018.61,3721.21,1552.27,541.2,202.27,138.47,3688.52,389.76,972.42,1195.27,2104.4,64998.41660143058,33498.92925136664,28929.509205671548,22,True,True,True,True
28,12799.81,4,40.16,113,9.35,3,21.84,3,44.79,4,30.37,5,40.98,163.74,3851.7,8717.09,605.06,448.8,81.9,259.76,1059.74,864.01,972.19,2082.36,533.13,53048.42682899157,32647.95798884084,26067.734525685435,11,True,True,True,True
29,4140.51,8,29.81,73,19.14,8,8.87,5,24.54,2,8.98,2,18.0,308.25,4486.7,6213.6,1697.53,120.89,273.94,430.86,3651.64,1032.14,353.52,1091.64,1781.28,138926.1426492855,56050.16338618501,51303.95750008786,5,True,True,True,True
30,6146.63,10,11.88,65,32.89,4,44.44,17,21.71,8,24.75,1,32.85,138.8,4178.96,5061.39,1317.94,385.15,83.59,179.43,2398.77,1411.36,356.39,713.04,1288.03,120990.35976393754,45447.16746838829,42692.81339261022,5,True,True,True,True
31,13354.26,7,36.25,27,27.85,5,9.67,15,10.15,8,49.1,1,20.69,245.94,3424.72,4648.4,781.59,115.87,262.6,520.31,3269.44,992.09,740.12,1994.16,991.86,51137.50377594801,28038.47139058362,22157.817804113507,6,True,True,True,True
32,5330.62,11,23.84,80,21.56,9,48.83,15,48.61,8,42.86,4,27.31,159.88,3027.54,4527.94,988.16,127.59,192.78,125.47,3850.47,454.19,284.7,1061.19,457.54,158532.3623198677,25884.649119875896,22306.24595247232,5,True,True,True,True
33,8391.34,6,46.14,80,18.68,7,23.08,13,39.77,9,16.49,3,29.68,136.25,1160.21,1556.7,1634.63,395.81,142.88,712.27,4309.85,516.65,367.02,1946.57,881.57,99156.1700188274,28129.83818473801,22660.312362535456,7,True,True,True,True
34,3643.51,3,18.2,112,35.34,3,41.12,11,44.99,5,29.88,5,48.49,347.08,3638.22,8005.75,1811.06,319.3,68.09,543.0,1831.24,256.47,647.99,1613.79,1520.86,215127.07082905996,540010.1983163609,551899.6979217511,16,True,True,True,True
35,7249.86,11,47.27,68,47.77,2,8.04,4,27.04,4,42.04,5,45.98,316.08,4472.13,1447.76,360.67,423.04,209.87,378.11,4011.56,1493.0,340.18,1699.37,1821.01,118015.4396849542,447879.2364768673,443979.3705649956,47,True,True,True,True
36,5550.84,6,45.54,62,24.94,12,29.47,15,30.49,6,18.33,5,13.97,163.52,3241.79,3079.21,639.33,253.91,268.16,133.44,2882.05,761.22,298.1,1271.29,913.9,124672.02717050204,26840.969291571044,23094.304104012637,5,True,True,True,True
37,11204.85,8,10.9,90,37.52,5,26.9,8,49.19,3,15.71,1,12.55,327.31,1664.06,6792.58,777.89,141.2,168.3,371.38,3679.4,672.53,865.25,1058.63,1108.19,44462.33065394404,26759.827019750668,21641.11494658094,7,True,True,True,True
38,8846.22,5,38.26,46,34.65,3,9.66,19,43.07,8,26.4,3,28.35,102.53,3541.27,4455.95,963.41,225.63,172.01,520.44,1237.91,943.05,447.88,1849.4,611.4,64631.52789230094,36171.14392889135,32562.072327900147,7,True,True,True,True
39,9018.49,4,13.71,77,20.87,10,41.23,13,14.35,10,47.49,2,35.98,300.86,1539.06,3135.3,1241.97,543.7,252.06,280.05,3713.02,1243.07,304.83,1521.75,829.64,63262.01084444226,30481.87238915665,26160.282205309017,10,True,True,True,True
40,11482.9,2,47.56,93,10.51,7,46.74,15,27.98,2,33.28,2,38.69,95.36,3165.35,1800.71,660.49,545.52,79.81,453.67,2190.42,711.79,679.68,1162.7,954.16,71171.22458503908,28256.584222581645,25283.7489576049,11,True,True,True,True
41,13904.83,11,13.29,101,42.73,5,22.69,18,29.48,9,22.23,4,34.12,290.73,2020.27,5932.01,1838.9,527.72,113.03,611.02,4288.56,1327.59,350.57,2040.27,1891.44,51043.718642827705,29147.4973383526,21763.021088489582,5,True,True,True,True
42,11958.73,9,44.06,66,37.29,4,48.98,4,39.97,8,13.38,4,26.92,176.8,3190.6,4792.21,1225.1,562.3,229.08,731.54,3719.26,848.77,288.88,1785.28,996.41,89122.98758911627,28554.77318654237,22527.27633320156,8,True,True,True,True
43,10644.83,6,8.84,24,43.25,7,17.44,13,39.58,5,25.64,2,26.94,360.92,1793.92,4630.32,821.16,568.14,163.25,493.7,4561.87,399.12,265.29,936.31,465.29,40649.88513943991,26226.82390960626,21145.47279727029,8,True,True,True,True
44,4923.71,11,25.04,47,48.71,7,44.01,5,14.85,2,36.46,2,33.89,360.8,4321.68,6849.72,1624.36,394.53,89.66,174.96,1512.1,1508.0,732.31,913.81,1857.79,174520.4620782127,51501.40127120211,47343.19176183469,5,True,True,True,True
45,9789.81,10,40.07,76,42.09,8,40.73,12,41.44,8,25.16,3,36.19,257.65,3497.67,8728.34,1646.9,453.06,59.26,562.45,3419.15,723.04,248.73,1848.36,1737.3,115668.67967973744,28483.05949178545,21609.289193860444,8,True,True,True,True
46,13380.53,4,19.45,28,34.12,3,11.57,19,34.43,9,29.48,4,39.44,337.35,3768.2,6961.52,422.5,320.65,106.78,124.46,3181.48,893.22,206.14,1610.7,1567.91,44263.72245786061,30431.36245303401,25864.68681107875,13,True,True,True,True
47,11611.46,7,27.54,99,12.36,2,21.47,20,16.41,5,29.55,5,15.53,296.4,2846.3,6058.17,823.48,603.47,193.36,467.17,3631.75,1466.62,772.16,1411.42,1187.99,52359.483385813626,35528.20937315881,31478.94655186679,18,True,True,True,True
48,7787.16,7,29.58,83,37.17,12,44.25,14,32.77,3,40.41,3,16.84,93.1,2546.12,2798.14,1413.35,513.89,51.03,527.28,2193.52,1389.39,369.82,2180.46,1262.76,113863.56912132306,31271.655434884266,27016.68144682544,7,True,True,True,True
49,7518.83,11,24.46,82,34.2,11,8.57,14,40.61,4,29.39,5,12.69,341.18,2151.92,8497.22,344.04,541.46,251.71,140.59,3953.77,1370.2,866.93,468.78,488.63,77340.89126849883,27051.63422391063,21987.8407274521,6,True,True,True,True
50,12104.17,9,31.01,108,48.88,11,35.17,7,10.73,10,24.9,3,19.17,370.8,1984.45,2282.62,1265.15,113.53,147.48,565.1,1636.43,825.38,806.25,1853.34,1484.68,41988.56953312759,25733.450121956565,20418.491109344373,5,True,True,True,True
51,13778.36,12,18.71,52,17.35,11,17.1,17,41.84,5,25.71,4,28.66,346.41,1316.57,4486.75,661.15,626.18,223.68,265.74,1096.06,364.92,566.73,1436.67,1440.74,29116.329100347928,23555.427275517613,18745.509693022243,10,True,True,True,True
52,10250.24,4,29.82,80,8.27,5,48.67,12,24.72,2,18.24,1,47.75,342.24,1176.42,8869.87,1118.06,527.77,166.38,379.54,2822.23,1244.64,667.28,2267.15,968.54,62905.71008510158,37704.803758651615,32853.58780017562,9,True,True,True,True
53,3720.17,9,21.91,96,47.19,6,35.99,4,42.41,3,49.93,4,40.29,151.93,3022.26,2816.91,1787.82,149.46,136.29,132.82,4147.81,896.05,990.29,569.67,1309.27,244795.54068418508,76527.35336966133,72945.17669091125,6,True,True,True,True
54,6002.48,5,11.35,74,32.25,10,27.12,4,36.04,5,46.91,1,47.13,209.49,1277.07,7254.17,1667.29,221.22,210.65,190.0,1843.38,1474.81,388.39,422.82,1584.49,101012.75169763528,49176.19776109076,47335.13815645114,11,True,True,True,True
55,12588.32,10,17.17,112,17.66,8,39.64,11,37.58,3,10.85,5,28.63,166.59,890.1,2057.65,1281.33,646.87,150.24,156.15,1910.37,998.33,419.94,1001.58,993.71,35075.38391207243,23651.74499989701,19433.48788169828,9,True,True,True,True
56,11442.16,6,49.19,21,38.43,2,17.9,12,33.48,3,32.74,2,18.96,69.64,4084.52,7867.8,889.9,263.24,125.35,374.15,3065.43,771.36,858.65,2072.31,1417.73,79584.82855795254,49238.23828824931,44962.16801370186,15,True,True,True,True
57,10989.0,11,43.33,69,22.29,4,14.57,10,26.03,5,20.22,4,22.16,119.08,4356.42,5597.62,430.0,411.08,129.68,724.44,2753.09,551.86,878.34,497.42,2253.08,56146.98191724547,30550.99298090988,25090.87134872896,8,True,True,True,True
58,6937.33,8,18.21,113,16.75,8,13.9,18,20.82,5,30.12,1,46.85,228.3,4363.38,3412.2,1862.83,353.77,173.22,550.27,1352.48,444.91,190.1,1062.56,893.3,64578.21801971564,27097.99300346525,22369.5083299987,5,True,True,True,True
59,9947.67,10,12.91,107,23.85,5,14.73,6,8.24,9,12.35,5,47.25,194.28,1146.71,7515.36,712.98,296.54,92.15,682.29,3249.18,326.4,952.19,1858.63,407.13,29136.08784913268,25754.833432186628,19705.603728151516,7,True,True,True,True
60,7102.27,6,10.3,22,49.6,12,31.12,18,48.66,10,24.52,5,21.42,273.9,2899.88,6000.25,1174.83,343.38,116.89,120.77,4567.14,1515.86,555.56,505.74,738.02,106159.04343568816,31491.00659419537,27374.34646795948,6,True,True,True,True
61,7643.24,10,36.19,101,37.78,3,49.89,10,49.92,4,16.08,5,36.79,270.46,2920.1,3246.11,441.13,116.16,272.16,660.98,1335.38,897.98,179.08,1690.32,838.34,96973.36849308143,34153.160763361404,31290.93818735855,9,True,True,True,True
62,10180.66,8,40.79,99,20.09,3,46.9,15,29.57,10,42.72,5,17.9,320.51,1551.42,2336.82,1353.49,564.6,251.44,505.46,1160.37,1050.74,319.38,1922.5,1939.39,69169.96268844072,26060.03559354712,20984.717478064405,5,True,True,True,True
63,9648.86,12,16.26,125,29.22,4,15.24,6,23.44,3,25.38,2,49.56,215.83,1422.51,3975.18,1145.95,535.93,138.18,209.69,1773.08,1515.16,567.37,1982.04,1582.72,53991.57244732741,28286.090172846685,23461.502997550044,5,True,True,True,True
64,13789.73,11,10.76,75,21.38,7,11.55,18,49.39,8,14.32,4,9.42,191.71,3381.54,8697.4,1143.49,484.78,183.0,642.17,4150.44,872.12,870.47,2099.56,1466.51,43709.2323887661,29927.588384504084,21996.312599687768,6,True,True,True,True
65,4111.83,8,23.74,74,17.6,11,32.97,19,19.71,7,14.06,1,8.45,159.27,4339.77,4273.49,1347.93,606.82,179.9,223.56,2458.1,1239.95,311.35,651.83,700.04,149632.119984508,31575.036255680145,28609.255358959235,7,True,True,True,True
66,13576.33,4,11.06,93,34.22,11,43.66,11,12.32,9,27.32,3,46.17,309.41,1256.28,3175.7,548.15,364.37,105.45,473.21,3284.58,1107.65,351.24,1807.09,1972.99,37618.36385585224,27614.47216127847,21817.19002363175,10,True,True,True,True
67,8074.78,8,29.59,33,20.48,10,26.11,13,20.95,2,11.72,2,46.31,130.37,3853.65,8761.42,869.68,231.04,217.16,312.06,1391.23,1282.05,242.36,989.37,690.39,65925.83223792163,27499.19957975079,22387.039019935157,5,True,True,True,True
68,8831.16,7,36.29,109,34.3,11,37.1,20,13.47,6,33.71,3,15.46,111.56,4346.31,3790.0,1006.08,461.5,107.78,369.01,2803.9,515.1,275.83,1586.64,2019.46,92877.73963018252,27641.87118664654,21595.041825838107,7,True,True,True,True
69,9868.02,9,44.33,75,38.86,11,42.3,11,30.87,9,8.35,3,36.5,307.69,4407.6,1526.42,1665.68,510.49,50.4,688.17,4167.5,852.81,619.57,1371.33,2140.85,115926.46269268438,28575.651611000107,21855.741518004248,5,True,True,True,True
70,7711.94,5,21.53,96,48.54,11,27.24,16,16.72,7,40.94,1,17.79,64.87,1379.54,3216.8,1492.44,116.52,80.49,405.22,1566.8,471.75,653.06,960.72,1252.05,54479.15902387717,25527.8958333864,22144.37441807721,9,True,True,True,True
71,6336.87,7,39.96,75,34.66,9,9.92,6,29.97,6,32.88,2,9.63,314.56,1928.41,8323.41,1209.14,259.74,128.74,553.19,4432.1,666.11,954.23,1213.94,1370.77,124589.17188763712,32109.45776348105,25892.94930296602,5,True,True,True,True
72,12648.64,8,17.72,20,12.8,7,21.04,15,32.08,9,20.24,1,48.05,345.89,3342.01,5285.19,1583.01,539.94,278.82,600.63,962.14,876.27,488.83,1184.3,1231.71,43773.79514232895,26356.2248549326,21057.582965378475,8,True,True,True,True
73,8920.47,10,19.28,52,49.38,9,9.34,6,43.9,8,43.42,1,38.38,84.95,2460.37,2316.99,1583.0,550.37,273.54,214.93,3328.37,351.24,890.06,1021.79,1137.04,71388.56868933962,26333.085852403063,21160.810895485345,10,True,True,True,True
74,13259.29,6,36.41,75,36.11,2,30.03,13,8.17,10,48.7,4,40.68,222.07,3086.67,7405.24,564.01,160.99,108.13,366.45,2790.52,534.22,677.3,616.93,2156.57,54729.39264564478,32177.847034871276,28229.44889701908,16,True,True,True,True
75,5903.55,4,35.9,36,36.74,10,39.56,19,46.93,8,44.4,5,8.53,190.2,815.08,8894.79,1663.87,326.85,248.22,247.51,2375.8,1532.47,370.29,1959.33,688.24,155015.7468903564,30618.165517559595,26282.2530592633,10,True,True,True,True
76,12308.38,7,36.66,124,38.28,12,20.97,4,31.59,4,17.37,5,22.69,119.64,1971.07,3800.27,364.62,585.7,224.64,367.21,2082.36,849.06,958.92,644.74,884.13,39341.95015814688,24078.3771204904,19455.745662258945,9,True,True,True,True
77,12088.07,8,18.24,78,22.05,12,24.39,8,41.65,3,23.69,1,41.24,298.98,1228.39,8023.28,1476.02,590.41,127.96,364.54,1443.33,343.96,161.98,529.39,1934.82,41673.86812087797,25338.73287731979,21088.08609834344,12,True,True,True,True
78,8123.72,4,29.76,117,43.16,2,31.92,9,23.95,3,32.4,2,36.27,327.83,3458.67,8007.5,1835.9,344.12,171.18,435.38,3142.84,1408.64,427.56,2122.39,1969.84,119019.0839561768,64354.06674831199,61607.63005500656,9,True,True,True,True
79,13531.71,11,46.77,27,9.5,8,13.28,4,28.06,8,12.34,2,34.1,221.2,1153.59,8648.49,1753.99,256.91,227.29,530.64,951.08,1499.48,276.44,2111.05,2099.5,38925.57915415784,29335.284485024407,23530.93787937976,10,True,True,True,True
80,11554.11,2,9.54,21,32.98,4,17.41,13,34.8,9,39.3,4,14.5,325.54,3056.76,6156.97,1201.03,467.58,77.59,303.35,1357.98,1204.09,639.83,1934.92,1234.36,53958.59884901872,28284.292360169977,23757.245869460763,9,True,True,True,True
81,8288.42,2,46.31,42,33.64,3,29.13,11,27.55,9,19.69,1,9.89,348.54,2291.96,3935.66,1568.63,353.97,142.96,242.45,4223.88,1512.09,928.88,1804.04,2149.2,111156.8248458468,110114.65470449296,107983.6354434016,75,False,False,True,False
82,14374.5,9,17.14,110,49.17,9,47.44,10,17.41,2,47.99,2,14.08,223.22,4027.31,2230.24,1562.47,438.74,223.67,285.33,3793.31,1174.18,504.93,644.46,443.62,55868.73712642674,26310.857769151444,21004.23753961305,8,True,True,True,True
83,7017.27,8,34.42,24,20.91,6,18.4,9,45.3,5,23.61,3,33.02,214.39,3384.47,5447.24,1322.3,406.48,233.36,389.9,1735.32,663.09,609.77,1357.5,1857.64,99053.49366741652,27853.241003176827,22458.97805322301,5,True,True,True,True
84,11506.66,3,39.47,115,45.13,5,38.87,7,35.25,10,19.88,2,43.27,128.03,2318.51,4118.9,856.32,172.91,231.81,339.2,3544.92,532.55,454.82,2241.82,2098.41,77219.86692440552,32159.337014965942,26953.120461783376,12,True,True,True,True
85,4078.69,12,27.44,70,28.08,2,41.31,18,17.71,6,15.47,4,30.07,104.94,1028.78,8691.13,820.95,242.13,237.45,372.14,4078.04,1339.2,199.28,2176.79,2022.73,157775.6253527621,39749.25835581234,36431.38096768052,23,True,True,True,True
86,10246.99,4,33.85,38,23.65,2,41.33,9,48.3,3,24.97,1,22.37,106.23,2037.9,8688.86,1739.19,219.65,230.98,314.62,4214.38,1372.16,301.75,1057.82,685.14,96388.26369369378,33091.16727013909,30035.701648652128,14,True,True,True,True
87,9764.17,2,15.24,103,28.2,6,15.92,10,30.64,8,38.7,3,20.65,351.57,911.03,8121.38,1225.64,132.03,56.55,581.34,2892.3,1481.36,235.53,1723.34,861.38,57798.19453826246,39564.34773646883,36288.02335497998,24,True,True,True,True
88,5827.45,12,36.92,94,36.93,7,13.13,14,15.26,8,16.66,2,10.54,175.55,3065.65,7925.9,1812.39,638.99,123.95,123.41,1434.04,620.91,648.88,1304.87,1013.99,74850.27721127053,26876.39840133384,21832.74268122275,8,True,True,True,True
89,9818.39,4,38.71,101,8.83,10,45.85,12,40.69,2,20.43,4,15.45,215.86,4141.52,8392.58,1544.14,251.84,225.3,346.09,1871.69,375.15,561.34,417.68,582.99,84158.27853714042,25305.24337366169,20539.420642704303,5,True,True,True,True
90,7621.19,3,29.78,92,25.57,7,13.27,15,37.39,9,25.45,5,8.02,101.45,2672.86,6645.06,1681.79,610.19,121.86,471.5,2309.91,300.86,187.11,2198.13,577.84,78507.24342395904,29076.306956042077,25279.012254037512,12,True,True,True,True
91,6657.3,5,42.41,116,20.29,7,45.99,18,19.94,9,24.73,5,32.1,120.32,4113.62,5585.47,1622.19,619.72,147.29,741.5,1896.97,1256.31,621.61,539.84,1388.21,129239.53084700136,28588.433022007608,24439.47822715101,5,True,True,True,True
92,10089.33,12,22.71,28,22.01,8,44.01,3,9.47,7,34.75,1,9.77,107.81,2626.9,4918.21,848.41,383.25,239.5,613.85,1763.7,1389.47,906.3,2172.66,1620.59,63546.27614067362,34100.55488099524,28210.968728711847,10,True,True,True,True
93,14243.3,8,27.29,77,26.26,12,10.38,14,48.83,3,40.1,3,9.38,367.92,1300.48,7882.14,702.8,620.67,92.83,289.08,4527.19,651.3,497.04,1696.14,1535.08,51277.91828895259,28477.213579634576,21605.718628997078,10,True,True,True,True
94,6188.45,12,38.33,103,9.92,3,19.01,8,31.7,3,20.83,5,48.83,217.08,4067.81,5019.8,1156.18,200.19,194.96,699.74,2732.04,1148.65,634.55,2100.34,1926.0,132325.8598198572,66841.5444991882,61654.329350637,6,True,True,True,True
95,9447.73,2,17.5,116,23.99,6,28.02,10,14.79,8,41.31,4,25.51,140.96,1830.84,4190.78,1228.9,513.91,141.86,171.66,3772.8,695.8,622.6,890.68,1485.47,53644.96709082127,53420.42413169509,50588.57346116632,23,True,True,True,True
96,11475.03,10,31.03,97,28.57,12,36.77,12,11.89,4,46.18,5,17.77,316.7,1251.18,8533.67,1001.83,413.44,155.43,143.64,1970.53,1329.13,974.0,531.19,935.99,43217.12092304248,24897.683545495525,19922.051439828727,10,True,True,True,True
97,10882.15,3,29.82,65,49.1,9,39.36,6,9.4,9,22.7,1,36.86,356.97,2290.39,1867.47,326.81,462.51,63.08,185.83,1115.45,1428.09,464.1,2069.01,1275.7,46063.55985458137,26773.60464168097,22118.95018315331,6,True,True,True,True
